country,year,SE.PRM.ENRR
New Zealand,2013,97.94509125
OECD members,2013,102.23887
Oman,2013,109.4825287
Other small states,2013,105.33096
Pakistan,2013,89.50596619
Panama,2013,102.0595779
Peru,2013,103.1072311
Philippines,2013,114.5764465
Palau,2013,114.7814026
Papua New Guinea,2013,
Poland,2013,99.7767868
Pre-demographic dividend,2013,98.87773
Puerto Rico,2013,87.96762848
"Korea, Dem. People‰Ûªs Rep.",2013,
Portugal,2013,109.0199127
Paraguay,2013,
West Bank and Gaza,2013,94.59393311
Pacific island small states,2013,110.17637
Post-demographic dividend,2013,101.09615
French Polynesia,2013,
Qatar,2013,98.07254028
Romania,2013,
Russian Federation,2013,100.2664337
Rwanda,2013,140.5275574
South Asia,2013,109.29721
Saudi Arabia,2013,115.6141663
Sudan,2013,72.38520813
Senegal,2013,83.23809052
Singapore,2013,
Solomon Islands,2013,113.9067383
Sierra Leone,2013,114.8747177
El Salvador,2013,110.2106781
San Marino,2013,
Somalia,2013,
Serbia,2013,100.8955383
Sub-Saharan Africa (excluding high income),2013,98.8477
South Sudan,2013,
Sub-Saharan Africa,2013,98.84845
Small states,2013,104.93149
Sao Tome and Principe,2013,109.90065
Suriname,2013,117.3540497
Slovak Republic,2013,100.5852203
Slovenia,2013,99.37490845
Sweden,2013,120.4289017
Eswatini,2013,109.8746033
Sint Maarten (Dutch part),2013,
Seychelles,2013,114.432579
Syrian Arab Republic,2013,75.99230957
Turks and Caicos Islands,2013,
Chad,2013,101.1399689
East Asia & Pacific (IDA & IBRD countries),2013,105.38339
Europe & Central Asia (IDA & IBRD countries),2013,101.63835
Togo,2013,126.6340637
Thailand,2013,96.83113861
Tajikistan,2013,98.51997375
Turkmenistan,2013,
Latin America & the Caribbean (IDA & IBRD countries),2013,109.08749
Timor-Leste,2013,125.6541901
Middle East & North Africa (IDA & IBRD countries),2013,105.46407
Tonga,2013,109.7182465
South Asia (IDA & IBRD),2013,109.29721
Sub-Saharan Africa (IDA & IBRD countries),2013,98.84845
Trinidad and Tobago,2013,
Tunisia,2013,111.2823868
Turkey,2013,107.2719803
Tuvalu,2013,
Tanzania,2013,85.54325104
Uganda,2013,106.6065216
Ukraine,2013,101.6795578
Upper middle income,2013,105.3161
Uruguay,2013,109.7281799
United States,2013,98.31374359
Uzbekistan,2013,97.34858704
St. Vincent and the Grenadines,2013,105.3246689
"Venezuela, RB",2013,101.7213211
British Virgin Islands,2013,96.20825195
Virgin Islands (U.S.),2013,
Vietnam,2013,107.3839111
Vanuatu,2013,123.7424393
World,2013,104.64915
Samoa,2013,
Kosovo,2013,
"Yemen, Rep.",2013,97.08706665
South Africa,2013,97.23451233
Zambia,2013,102.3340912
Zimbabwe,2013,98.69419861
